date,series_id,value,industry,quarter,index
2019-03-20,A3538807V,113612,Mining,2019-01-01,100
2019-03-20,A3538810J,112265,Manufacturing,2019-01-01,100
2019-03-20,A3538813R,24206,"Electricity, gas, water and waste services",2019-01-01,100
2019-03-20,A3538816W,114468,Construction,2019-01-01,100
2019-03-20,A3538819C,165275,Wholesale trade,2019-01-01,100
2019-03-20,A3538822T,129344,Retail trade,2019-01-01,100
2019-03-20,A3538825X,31224,Accommodation and food services,2019-01-01,100
2019-03-20,A3538828F,40639,"Transport, postal and warehousing",2019-01-01,100
2019-03-20,A3538831V,18194,Information media and telecommunications,2019-01-01,100
2019-03-20,A3538834A,15683,Financial and insurance services,2019-01-01,100
2019-03-20,A3538837J,28749,"Rental, hiring and real estate services",2019-01-01,100
2019-03-20,A3538840W,59184,"Professional, scientific and technical services",2019-01-01,100
2019-03-20,A3538846K,10340,Arts and recreation services,2019-01-01,100
2019-03-20,A3538849T,16739,Other services,2019-01-01,100
2019-06-20,A3538807V,118273,Mining,2019-04-01,104.10255958877583
2019-06-20,A3538810J,112396,Manufacturing,2019-04-01,100.11668819311451
2019-06-20,A3538813R,23380,"Electricity, gas, water and waste services",2019-04-01,96.58762290341238
2019-06-20,A3538816W,114162,Construction,2019-04-01,99.73267638117203
2019-06-20,A3538819C,163054,Wholesale trade,2019-04-01,98.65617909544699
2019-06-20,A3538822T,128407,Retail trade,2019-04-01,99.27557521029193
2019-06-20,A3538825X,31781,Accommodation and food services,2019-04-01,101.78388419164745
2019-06-20,A3538828F,40754,"Transport, postal and warehousing",2019-04-01,100.28297940402076
2019-06-20,A3538831V,18537,Information media and telecommunications,2019-04-01,101.88523689128284
2019-06-20,A3538834A,16134,Financial and insurance services,2019-04-01,102.87572530765797
2019-06-20,A3538837J,28945,"Rental, hiring and real estate services",2019-04-01,100.681762843925
2019-06-20,A3538840W,60630,"Professional, scientific and technical services",2019-04-01,102.44322789943227
2019-06-20,A3538846K,10141,Arts and recreation services,2019-04-01,98.07543520309478
2019-06-20,A3538849T,17108,Other services,2019-04-01,102.20443276181373
2019-09-20,A3538807V,117628,Mining,2019-07-01,103.53483786923917
2019-09-20,A3538810J,112093,Manufacturing,2019-07-01,99.84679107468935
2019-09-20,A3538813R,24400,"Electricity, gas, water and waste services",2019-07-01,100.80145418491283
2019-09-20,A3538816W,114133,Construction,2019-07-01,99.7073417898452
2019-09-20,A3538819C,163361,Wholesale trade,2019-07-01,98.84193011647254
2019-09-20,A3538822T,126083,Retail trade,2019-07-01,97.47881618010885
2019-09-20,A3538825X,31911,Accommodation and food services,2019-07-01,102.20023059185242
2019-09-20,A3538828F,41144,"Transport, postal and warehousing",2019-07-01,101.24264868722163
2019-09-20,A3538831V,18656,Information media and telecommunications,2019-07-01,102.53929866989117
2019-09-20,A3538834A,16278,Financial and insurance services,2019-07-01,103.79391698016961
2019-09-20,A3538837J,28910,"Rental, hiring and real estate services",2019-07-01,100.5600194789384
2019-09-20,A3538840W,61416,"Professional, scientific and technical services",2019-07-01,103.77128953771289
2019-09-20,A3538846K,10203,Arts and recreation services,2019-07-01,98.67504835589942
2019-09-20,A3538849T,16918,Other services,2019-07-01,101.06935898201804
2019-12-20,A3538807V,118272,Mining,2019-10-01,104.10167940006338
2019-12-20,A3538810J,113432,Manufacturing,2019-10-01,101.03950474324144
2019-12-20,A3538813R,23797,"Electricity, gas, water and waste services",2019-10-01,98.3103362802611
2019-12-20,A3538816W,112843,Construction,2019-10-01,98.58038927909983
2019-12-20,A3538819C,164040,Wholesale trade,2019-10-01,99.25276055059749
2019-12-20,A3538822T,125271,Retail trade,2019-10-01,96.85103290450272
2019-12-20,A3538825X,32312,Accommodation and food services,2019-10-01,103.48449910325391
2019-12-20,A3538828F,41253,"Transport, postal and warehousing",2019-10-01,101.51086394842393
2019-12-20,A3538831V,18347,Information media and telecommunications,2019-10-01,100.84093657249643
2019-12-20,A3538834A,16770,Financial and insurance services,2019-10-01,106.93107186125104
2019-12-20,A3538837J,29496,"Rental, hiring and real estate services",2019-10-01,102.5983512469999
2019-12-20,A3538840W,61626,"Professional, scientific and technical services",2019-10-01,104.12611516626116
2019-12-20,A3538846K,9945,Arts and recreation services,2019-10-01,96.1798839458414
2019-12-20,A3538849T,16887,Other services,2019-10-01,100.8841627337356
2020-03-20,A3538807V,117965,Mining,2020-01-01,103.83146146533817
